id_bat;len_occ_brat;len_occ_db;miss_db;miss_brat;miss_all;max_nomen;miss_nomen_db;miss_area;miss_nomen_brat;nomen_brat;nomen_db;geometry
16889;1;1;0;0;0;1;[];0.0;[];['01'];['01'];POLYGON ((147661.211000002 164502.843842451, 147663.946000002 164500.187842451, 147665.079000002 164500.06284245, 147666.514000002 164498.669842451, 147666.672000002 164497.540842451, 147667.174000002 164497.052842452, 147664.134000002 164493.932842451, 147664.464000002 164493.61184245, 147661.319000002 164490.366842452, 147661.528000002 164490.156842452, 147659.433000002 164487.999842452, 147658.140000002 164489.250842452, 147657.850000002 164488.940842452, 147656.900000002 164489.860842451, 147654.880000003 164487.770842452, 147651.480000002 164491.070842452, 147649.600000002 164489.130842451, 147646.020000002 164492.600842452, 147650.660000002 164497.120842451, 147653.140000002 164494.65084245, 147661.211000002 164502.843842451))
95303;1;1;1;1;2;1;['07'];271.0;['01'];['07'];['01'];POLYGON ((147554.496000003 164345.285842452, 147562.890000003 164348.880842451, 147566.600000003 164338.960842453, 147566.550000003 164338.690842452, 147565.970000003 164335.52084245, 147563.280000003 164324.100842452, 147562.960000003 164324.170842452, 147559.520000003 164324.960842454, 147560.310000003 164329.680842451, 147554.496000003 164345.285842452))
79488;1;1;0;0;0;1;[];0.0;[];['01'];['01'];POLYGON ((147802.607000002 164401.564842451, 147803.646000002 164400.935842451, 147804.105000002 164401.68384245, 147806.451000002 164400.246842451, 147805.980000002 164399.485842451, 147809.054000002 164397.615842452, 147809.524000002 164398.375842451, 147811.854000002 164396.962842451, 147811.334000002 164396.102842452, 147814.617000002 164394.103842453, 147809.653000002 164385.950842452, 147807.900000002 164387.020842452, 147805.730000002 164383.470842452, 147795.407000002 164389.750842452, 147802.607000002 164401.564842451))
47000;1;1;0;0;0;1;[];0.0;[];['01'];['01'];POLYGON ((147689.640000002 164425.08084245, 147686.850000002 164421.290842451, 147696.850000002 164413.920842451, 147693.100000002 164408.840842451, 147690.590000002 164405.430842452, 147686.880000002 164408.170842451, 147680.490000002 164412.880842451, 147675.490000002 164416.470842452, 147678.450000002 164420.600842451, 147686.590000002 164431.150842452, 147691.570000002 164427.580842451, 147689.640000002 164425.08084245))
43082;2;1;1;0;1;2;['03'];1587.0;[];['04', '03'];['04'];POLYGON ((147529.610000003 164431.240842452, 147552.840000003 164439.030842451, 147555.120000003 164432.710842452, 147557.230000003 164433.400842452, 147555.330000003 164439.190842452, 147571.040000003 164444.34084245, 147571.230000003 164443.774842451, 147575.297000003 164445.196842451, 147576.693000003 164441.202842452, 147572.576000003 164439.76284245, 147573.100000003 164438.200842451, 147572.620000003 164438.030842452, 147575.370000002 164429.84084245, 147597.970000003 164437.420842451, 147595.490000002 164444.83084245, 147604.280000002 164447.780842452, 147595.450000003 164474.710842452, 147603.580000003 164477.25084245, 147604.640000003 164473.97084245, 147611.370000002 164453.110842451, 147614.840000002 164442.910842453, 147608.030000002 164440.630842453, 147627.710000002 164381.810842453, 147571.370000003 164362.920842453, 147555.460000003 164375.290842451, 147552.560000003 164377.540842451, 147550.520000003 164383.750842451, 147549.850000003 164383.530842452, 147542.580000003 164392.290842451, 147542.460000003 164392.630842452, 147534.160000003 164417.300842451, 147529.610000003 164431.240842452))
15284;2;2;0;0;0;2;[];0.0;[];['05', '01'];['05', '01'];POLYGON ((149918.373 167156.877842442, 149918.394000053 167156.882842089, 149922.947999748 167158.022842314, 149924.8 167149.890842441, 149922.669999844 167149.380842267, 149923.689999562 167145.110842534, 149921.529999692 167144.600842609, 149920.959999657 167146.760842073, 149918.373 167156.877842442))
41757;2;1;1;0;1;2;['01'];130.0;[];['05', '01'];['05'];POLYGON ((149931.160999998 167129.655842443, 149931.356799997 167129.703342442, 149935.340599999 167130.668842442, 149936.409100004 167126.304742441, 149932.427500002 167125.329942442, 149930.722499996 167124.912442443, 149927.461499996 167124.114042443, 149925.098800004 167123.535642443, 149922.626500003 167122.93034244, 149918.009000003 167121.799842441, 149916.942000002 167126.157842443, 149921.5581 167127.294242443, 149921.649999999 167127.316842441, 149924.029700004 167127.902242441, 149926.259999998 167128.45084244, 149926.391800001 167128.482942439, 149926.420000002 167128.489842442, 149929.652000003 167129.284842445, 149931.140000001 167129.650842441, 149931.160999998 167129.655842443))
341;1;1;0;0;0;1;[];0.0;[];['01'];['01'];POLYGON ((149931.298 167160.112842441, 149936.126999733 167161.320841877, 149938.39 167152.400842442, 149939.29 167148.850842441, 149936.89 167148.270842441, 149936.04 167151.790842441, 149933.48 167151.170842441, 149931.298 167160.112842441))
29783;2;1;1;0;1;2;['01'];130.0;[];['05', '01'];['05'];POLYGON ((149915.880000066 167130.500842486, 149926.550000449 167133.120842429, 149930.59 167134.057842441, 149934.35 167134.970842442, 149935.39 167130.680842441, 149931.14 167129.650842442, 149926.26 167128.450842441, 149916.94299964 167126.158842006, 149915.880000066 167130.500842486))
22763;1;2;0;1;1;2;[];0.0;['01'];['05'];['05', '01'];POLYGON ((149912.747 167142.528842442, 149910.205 167152.696842442, 149911.776 167155.309842441, 149918.373 167156.877842442, 149920.959999657 167146.760842073, 149916.390000227 167145.810842232, 149916.88 167143.490842441, 149912.747 167142.528842442))
81576;1;1;0;0;0;1;[];0.0;[];['01'];['01'];POLYGON ((149942.000000313 167162.790842424, 149947.910000281 167164.269842503, 149951.849999614 167148.740842614, 149952.120000146 167147.68084199, 149946.17 167146.220842441, 149945.92 167147.190842443, 149942.000000313 167162.790842424))
69112;1;1;0;0;0;1;[];0.0;[];['05'];['05'];POLYGON ((149905.081061158 167174.49686967, 149919.339008227 167178.113140314, 149920.3 167173.771842441, 149908.344 167170.757842441, 149905.747 167172.006842442, 149905.081061158 167174.49686967))
63253;2;2;0;0;0;2;[];0.0;[];['05', '01'];['05', '01'];POLYGON ((149936.126999733 167161.320841877, 149942.000000313 167162.790842424, 149945.92 167147.190842443, 149946.17 167146.220842441, 149947.13 167142.470842442, 149941.32 167140.960842442, 149940.78 167143.090842442, 149940.33 167144.80084244, 149939.29 167148.850842441, 149938.39 167152.400842442, 149936.126999733 167161.320841877))
95935;2;2;0;0;0;2;[];0.0;[];['05', '01'];['05', '01'];POLYGON ((149928.820000443 167191.440842379, 149939.030000018 167193.910842645, 149939.339999808 167192.660842208, 149942.627999761 167179.39984294, 149932.392999516 167176.819842833, 149929.920000525 167186.970842089, 149928.820000443 167191.440842379))
41140;1;0;1;0;1;1;['04'];160.68;[];['04'];[];POLYGON ((149968.71 167084.100842441, 149960.78 167082.150842444, 149956.09 167101.27084244, 149964.01 167103.220842442, 149968.71 167084.100842441))
6941;1;1;0;0;0;1;[];0.0;[];['01'];['01'];POLYGON ((149930.006 167072.778842442, 149946.88000029 167077.090842465, 149947.65 167077.280842442, 149951.040000349 167063.513842166, 149933.352999731 167059.101842274, 149930.006 167072.778842442))
72645;2;3;0;1;1;3;[];0.0;['03'];['05', '01'];['05', '01', '03'];POLYGON ((149920.775000454 167110.499842118, 149935.209999619 167114.310842347, 149937.48 167114.900842443, 149942.88 167116.290842442, 149952.24 167078.420842444, 149947.65 167077.280842442, 149946.88000029 167077.090842465, 149930.006 167072.778842442, 149926.341 167087.753842442, 149928.284 167088.229842441, 149926.382 167095.999842442, 149924.44 167095.524842441, 149920.775000454 167110.499842118))
98603;1;1;0;0;0;1;[];0.0;[];['01'];['01'];POLYGON ((146825.890000004 168200.530842438, 146827.830000004 168199.010842438, 146825.870000004 168198.29084244, 146825.310000004 168199.800842438, 146825.890000004 168200.530842438))
9327;1;1;1;1;2;1;['01'];21.14;['11'];['01'];['11'];POLYGON ((146820.260000004 168215.520842437, 146822.391999956 168213.853842348, 146817.650000004 168207.090842436, 146817.030000004 168207.530842437, 146816.240000004 168209.770842439, 146817.920000004 168212.180842437, 146820.260000004 168215.520842437))
36371;1;0;1;0;1;1;['01'];27.26;[];['01'];[];POLYGON ((146798.609999857 168198.240842479, 146801.950000004 168203.110842437, 146805.869999857 168200.450842327, 146806.620000004 168199.940842438, 146802.890000004 168197.200842438, 146801.559999941 168196.220842562, 146798.609999857 168198.240842479))
86818;2;2;0;0;0;2;[];0.0;[];['05', '01'];['05', '01'];POLYGON ((149212.161000001 168991.564842436, 149214.250000001 168999.900842436, 149215.520000001 168999.610842436, 149220.620000001 168991.770842435, 149217.763000001 168990.238842434, 149212.161000001 168991.564842436))
14823;1;0;1;0;1;1;['01'];97.9;[];['01'];[];POLYGON ((146801.950000004 168203.110842437, 146799.190000004 168204.980842439, 146802.590000004 168210.000842438, 146809.27000007 168205.48084239, 146805.869999857 168200.450842327, 146801.950000004 168203.110842437))
2886;2;2;0;0;0;2;[];0.0;[];['05', '01'];['05', '01'];POLYGON ((149622.06 168175.321842437, 149622.276 168180.501842438, 149632.17 168180.270842437, 149632.19 168174.980842439, 149630.461 168175.038842439, 149626.24 168175.18084244, 149622.06 168175.321842437))
37631;1;1;0;0;0;1;[];0.0;[];['01'];['01'];POLYGON ((146785.030000037 168214.750842438, 146788.115000091 168219.417842316, 146795.700000099 168214.46084247, 146796.040000289 168214.240842639, 146793.880000004 168211.050842437, 146794.490000004 168210.640842438, 146793.400000019 168209.030842576, 146792.499999913 168209.64084279, 146785.030000037 168214.750842438))
58089;2;2;1;1;2;2;['01'];190.56;['13'];['05', '01'];['13', '05'];POLYGON ((149622.276 168180.501842438, 149622.498 168185.842842438, 149626.729999962 168186.840842664, 149627.85 168185.670842439, 149629.3 168185.670842437, 149629.3 168184.870842438, 149632.18 168184.870842437, 149632.47 168185.080842439, 149636.28 168180.180842438, 149632.17 168180.270842437, 149622.276 168180.501842438))
56526;1;1;0;0;0;1;[];0.0;[];['01'];['01'];POLYGON ((146769.250000004 168190.840842438, 146771.980000004 168194.980842439, 146780.280000004 168189.550842437, 146783.410000004 168187.450842438, 146781.780000004 168185.010842438, 146780.010000004 168186.200842438, 146778.860000004 168184.490842437, 146776.950000004 168185.750842439, 146769.250000004 168190.840842438))
880;1;1;0;0;0;1;[];0.0;[];['01'];['01'];POLYGON ((146766.350000004 168186.430842437, 146769.220000004 168190.790842438, 146769.250000004 168190.840842438, 146776.950000004 168185.750842439, 146778.860000004 168184.490842437, 146780.070000004 168183.710842437, 146780.050000004 168183.680842437, 146778.210000004 168180.860842438, 146777.380000004 168181.400842438, 146776.380000004 168179.880842438, 146774.140000004 168181.340842438, 146766.350000004 168186.430842437))
75562;1;1;0;0;0;1;[];0.0;[];['01'];['01'];POLYGON ((146803.190000004 168170.200842439, 146799.473000004 168181.138842438, 146804.453000004 168182.752842438, 146803.009000004 168187.422842437, 146805.608000004 168188.125842437, 146807.340000004 168181.950842437, 146810.510000004 168172.580842437, 146803.190000004 168170.200842439))
18450;1;1;0;0;0;1;[];0.0;[];['01'];['01'];POLYGON ((149660.506499998 168146.847242438, 149659.104800001 168145.070542437, 149657.509999998 168146.120842439, 149657.43 168145.980842438, 149656.246600002 168146.702942439, 149653.299999997 168148.500842438, 149651.296700001 168149.957042439, 149651.0902 168150.10714244, 149649.866800003 168150.996542439, 149646.305 168153.586842436, 149651.556999996 168157.62384244, 149655.1501 168154.759542435, 149655.351899996 168154.598742437, 149655.364100002 168154.588942438, 149659.579999998 168151.230842438, 149660.990000002 168150.180842437, 149661.424599998 168149.85724244, 149659.617399998 168147.467342437, 149660.506499998 168146.847242438))
93299;1;1;0;0;0;1;[];0.0;[];['01'];['01'];POLYGON ((149628.01 168318.248842436, 149628.252 168324.067842436, 149638.71 168323.710842437, 149640.98 168323.640842437, 149640.75 168317.750842437, 149641.14 168317.730842437, 149640.93 168312.31084244, 149637.45 168312.430842436, 149627.781999746 168312.769842885, 149628.01 168318.248842436))
58418;1;1;0;0;0;1;[];0.0;[];['01'];['01'];POLYGON ((146810.210000004 168191.910842437, 146812.890000004 168183.850842439, 146816.040000004 168174.380842438, 146810.510000004 168172.580842437, 146807.340000004 168181.950842437, 146809.857000004 168182.909842438, 146807.012000004 168190.999842437, 146810.210000004 168191.910842437))
28996;2;2;0;0;0;2;[];0.0;[];['05', '01'];['05', '01'];POLYGON ((149623.790945339 168167.38178465, 149629.16 168171.300842439, 149634.982 168163.531842437, 149630.104 168159.765842438, 149623.790945339 168167.38178465))
77563;2;3;1;2;3;3;['06'];233.9;['01', '11'];['06', '03'];['03', '01', '11'];POLYGON ((147052.950000003 168538.390842437, 147069.667000003 168531.343842437, 147066.236229003 168524.570098436, 147054.890000003 168529.910842437, 147054.310000003 168531.290842438, 147055.010000003 168533.010842436, 147051.440000003 168534.710842436, 147052.950000003 168538.390842437))
92351;1;1;0;0;0;1;[];0.0;[];['01'];['01'];POLYGON ((149625.122 168248.882842438, 149625.463 168257.081842437, 149641.41 168256.430842438, 149643.34 168256.350842438, 149643.11 168251.130842438, 149637.4 168251.380842437, 149637.27 168248.340842439, 149625.122 168248.882842438))
4214;2;2;1;1;2;2;['03'];279.0;['01'];['04', '03'];['04', '01'];POLYGON ((147152.754000003 168703.400842438, 147156.750000003 168708.700842436, 147157.550000003 168708.050842434, 147157.840000003 168708.400842436, 147158.770000003 168707.640842436, 147158.792000003 168707.622842437, 147181.381974003 168688.931844436, 147176.683876003 168683.382878433, 147152.754000003 168703.400842438))
41744;2;2;0;0;0;2;[];0.0;[];['05', '01'];['05', '01'];POLYGON ((149750.82 168136.490842438, 149761.272 168127.765842438, 149761.77 168127.350842437, 149771.581 168119.151842438, 149761.453 168110.154842437, 149755.32 168117.090842438, 149752.72 168120.040842438, 149752.5 168120.290842438, 149750.44 168122.620842437, 149749.34 168121.660842438, 149745.56 168125.980842439, 149748.49 168128.540842437, 149752.17 168124.330842438, 149753.28 168125.300842437, 149756.07 168122.110842438, 149759.55 168125.150842439, 149758.7 168126.120842437, 149757.97 168125.480842439, 149748.34 168133.510842437, 149750.82 168136.490842438))
23647;1;2;0;1;1;2;[];0.0;['05'];['04'];['04', '05'];POLYGON ((147122.190000003 168663.560842434, 147137.500000003 168683.860842437, 147137.840000003 168683.620842435, 147151.561377772 168672.22810983, 147156.47472817 168668.079568035, 147161.404746003 168664.025830436, 147156.446842003 168658.121064437, 147148.939243003 168657.082305438, 147143.350800003 168649.529242438, 147138.521200003 168643.001842437, 147126.452200003 168626.585042437, 147122.658700003 168621.421042436, 147117.254000003 168613.881542436, 147117.445100003 168613.753442436, 147114.496000003 168609.427842438, 147094.390000003 168624.390842436, 147106.909000003 168641.284842436, 147119.025000003 168657.633842437, 147122.950000003 168662.930842436, 147122.190000003 168663.560842434))
42327;1;1;0;0;0;1;[];0.0;[];['01'];['01'];POLYGON ((150050.52 167328.720842441, 150048.15 167328.140842441, 150047.16 167332.140842441, 150049.365 167333.403842441, 150050.52 167328.720842441))
96859;1;0;1;0;1;1;['01'];27.04;[];['01'];[];POLYGON ((150042.739 167187.816842441, 150046.511 167188.757842443, 150048.03 167181.700842442, 150044.51 167180.850842442, 150042.739 167187.816842441))
