id_bat;nomen_miss;miss_area
6548;5;783.0
18216;1;4.0
62517;14;19.0
2665;1;20.0
41623;1;27.0
99297;4;382.0
12207;4;1126.0
82682;3;800.0
65805;6;6636.0
51407;3;796.0
73732;3;7148.0
83134;3;48.0
7092;16;803.0
37644;1;6.0
94248;14;16.0
60603;4;26.0
38453;3;162.0
75556;14;65.0
44296;14;85.0
35383;5;91.0
41694;16;56.5
54358;9;159.59
28873;14;22.01
74860;3;2196.24
23927;3;3619.0
15463;3;1100.0
99105;1;6.0
9748;1;5.0
73531;1;5.0
85246;1;7.0
54126;1;580.0
60146;4;124.0
60146;3;270.0
16386;4;197.0
26086;1;27.2
51357;4;39.6
30524;1;148.41
40286;4;59.0
66486;1;358.04
8384;14;83.0
1174;4;105.64
13289;4;126.38
13289;3;126.38
23060;5;211.0
57169;4;765.94
52991;3;1478.0
22006;3;1699.44
32420;1;537.9
49321;1;618.49
88425;1;8124.220000000003
35763;20;2344.17
56876;1;1015.08
18733;4;800.0
96280;4;3326.0
96280;14;10.0
38661;1;13.0
76621;14;249.0
67252;3;277.76
63387;3;2734.0
81363;4;10.4
75196;6;2493.65
13555;9;33.64
77391;9;10.68
24240;3;15.0
33630;3;1022.48
9557;14;10.34
78472;1;27.0
25421;3;39.0
63680;3;108.0
89330;4;34.0
22695;13;66.96
6768;5;49.19
87346;1;11.01
57921;1;2.66
36710;1;6.05
40322;1;3.0
25955;1;3.99
70690;1;4.83
93328;14;19.0
54156;14;11.0
81980;14;10.0
33025;14;40.0
20729;4;54.0
2785;4;9.55
102;4;10.7
3554;14;6.0
23859;1;5.0
39320;1;6.0
8281;1;8.0
60930;14;9.0
87420;14;9.0
54713;14;8.0
23650;14;22.0
692;4;18.17
9417;3;26.95
88283;9;11.69
60498;3;74.04
31690;3;86.0
29280;3;83.0
66412;5;23.0
4904;14;2.0
84794;1;4.0
73817;1;3.0
25718;1;3.0
72398;1;4.0
53858;1;5.0
78983;1;4.0
46124;1;4.0
53635;1;4.0
51601;1;4.0
6931;1;4.0
92832;1;3.0
97918;1;3.0
18996;1;3.0
76909;1;4.0
7022;1;4.0
46911;1;4.0
35579;1;4.0
69593;1;4.0
37772;1;4.0
48338;1;4.0
33618;1;4.0
16268;1;4.0
39716;1;4.0
24900;1;4.0
94235;1;3.0
61406;1;4.0
69162;1;4.0
89087;4;11.0
39399;1;4.0
10367;1;4.0
52692;1;4.0
6329;1;12.0
10061;1;18.0
87572;14;3.0
29013;14;9.0
92698;1;15.0
70225;1;22.0
97038;1;8.0
45271;1;49.0
8070;3;798.0
62847;4;10.0
65237;1;5.0
73583;4;15.0
25380;1;65.0
32362;1;22.0
26457;4;36.0
79278;4;6756.0
82767;3;800.0
2548;6;36.0
86105;1;10.0
14246;1;8.0
44251;1;21.0
38293;1;9.0
31093;9;4000.0
58376;1;9.0
18894;1;41.0
85346;1;29.0
68539;6;69.0
64660;6;80.0
36913;6;104.0
11770;1;181.26
42790;1;353.62
96850;1;22.02
67278;9;60.0
67278;1;390.0
89942;3;184.97
96731;9;234.75
15239;7;63.66
60408;5;504.64
20100;1;38.96
95107;4;135.6
49739;5;82.38
37227;1;530.36
6983;5;39.93
57529;1;42.03
53203;5;94.34
75982;1;201.95
71386;9;689.93
48488;4;44.42
19910;1;89.38
71843;9;45.08
71843;1;45.08
97111;5;110.51
39310;1;430.55
92471;1;1128.84
22560;1;49.65
84321;1;49.77
10199;9;678.03
71161;5;52.92
23188;1;54.04
92844;5;236.01
87710;1;222.33
66989;5;3.76
81049;1;20.28
86673;1;7.82
58338;6;587.02
5304;3;406.72
44736;6;595.38
53107;3;62.19
43684;9;100.0
43684;1;130.22
12105;5;497.31000000000006
91123;3;51.95
18495;3;10000.0
69408;4;524.0
14192;1;44.0
6236;1;32.0
72052;1;160.0
49503;1;162.0
29380;9;1722.0
6231;1;176.0
29173;1;180.0
92446;1;26.0
36380;1;186.0
37755;1;198.0
79144;14;3.0
3491;1;694.22
11065;13;1017.3
46349;3;33.0
46169;1;35.76
50864;14;2292.0
50864;3;2253.0
41715;4;774.76
41035;4;442.0
42247;13;1146.0
93533;8;800.0
76538;4;309.44
90561;1;15.68
12493;16;39.15
47445;1;200.52
21499;4;158.13
75920;1;216.24
50278;5;78.11
61826;1;72.33
30635;7;72.46
26225;1;3.64
95651;1;5.57
53591;1;5.88
43181;1;6.84
6619;7;84.72
79110;1;8.89
64382;1;9.82
46978;9;215.0
63808;9;306.39
35911;9;462.53
2438;10;2985.44
60308;7;275.59
60308;10;275.59
31900;5;750.8199999999999
95165;16;815.02
20380;7;549.57
99347;9;452.0
98919;7;1019.03
33151;7;528.0
11895;9;981.94
81433;9;949.27
63478;3;17528.93
34039;1;516.01
84162;9;286.78
93024;16;10973.84
26104;9;989.0
9355;7;1300.0
12163;7;299.1
29799;3;1614.0200000000002
29728;7;162.45
77228;9;307.59
25625;7;150.0
97143;7;100.04
97143;1;1754.1999999999998
6565;3;483.88
79951;1;323.11
5492;13;1304.04
50764;3;834.86
78164;9;136.12
78164;3;100.0
28856;3;1326.04
7239;3;253.64
66651;10;250.0
89376;3;1160.92
86563;3;914.82
71181;7;300.97
91972;2;6302.38
44784;9;222.5
87320;9;232.0
898;2;422.87
79673;9;175.0
15923;9;439.61
21106;7;125.0
21106;16;275.0
21106;10;275.0
54777;3;194.0
43024;3;530.36
40668;7;541.0
23969;1;516.47
63537;9;189.58
63537;2;4330.0
98316;5;69.4
71189;1;173.98
24079;7;97.43
50788;10;687.56
4560;3;200.00000000000003
70184;1;115.5
39716;1;57.78
88695;1;175.62
86389;5;194.2
87468;7;87.2
99097;5;344.37
59934;10;557.7400000000001
12392;3;141.78
95679;1;153.91
94292;9;90.22
94292;1;776.0
39971;3;257.3
81160;10;2.06
15474;10;8.54
97876;14;59.44
32243;1;307.48
36556;1;333.4
72598;2;595.86
78345;1;397.48
96235;1;716.9
38305;3;591.88
59496;7;413.56
2430;1;61.54
95289;1;1543.4000000000003
