id_bat;area;level_all;SP;id_block;nomenclature;regroupement_fill;area_occ;source;date_insert;date_out
720300;145.36;3.0;439.8667539681802;498;01.00.00.00;logement;;oip;2024-09-18 15:39;
687191;68.12;3.0;187.8250237570164;498;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
160218;63.02;3.0;171.8390842072939;498;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
617080;30.48;2.0;60.96200007875461;503;;;;;;
727940;260.83;2.0;373.04817046122776;504;;;;;;
565181;36.05;1.0;36.04623805301546;504;16.00.00.00;équipements;;cada_fill;2025-01-01 00:01:00;
147309;62.04;2.0;100.45058344436146;504;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
868592;75.47;2.0;132.95034225683577;504;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
61636;22.32;1.0;22.31988650366563;504;01.50.00.00;logement;;annexe;2025-03-27 15:10;
827774;96.25;2.0;168.4040808434298;503;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
640072;19.01;1.0;19.00999999386667;503;01.50.00.00;logement;;annexe;2025-03-27 15:10;
583508;15.68;1.0;15.679955996868788;503;;;;;;
21826;19.32;1.0;19.31580000178933;503;;;;;;
17371;132.31;1.0;132.30505699569676;504;;;;;;
832074;121.15;2.0;202.53653437292647;501;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
297938;93.52;3.0;254.3394374998812;501;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
262896;141.42;2.0;189.1707999982822;501;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
317902;136.27;2.0;224.5428847309299;501;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
688257;163.19;3.0;375.8327023571082;503;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
566875;51.34;3.0;154.03966065659762;503;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
148511;15.25;1.0;15.252549994693377;503;;;;;;
321703;57.81;1.0;57.80736508504167;503;;;;;;
880496;675.14;1.0;675.1357249563769;503;;;;;;
499043;146.06;3.0;323.40928804637167;501;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
595926;195.58;3.0;586.0001429568789;501;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
595926;195.58;3.0;586.0001429568789;501;01.01.00.00;logement;;slrb;2025-02-04 14:08;
297327;80.83;3.0;232.07434201244263;501;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
416103;239.79;2.0;360.7624517587999;501;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
982269;124.82;3.0;320.2366707058384;501;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
717386;141.66;1.0;141.66405710404294;501;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
246565;360.9;4.0;1393.017260421095;501;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
246565;360.9;4.0;1393.017260421095;501;01.01.00.00;logement;;slrb;2025-02-04 14:08;
531584;358.52;4.0;1425.4337445295134;498;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
531584;358.52;4.0;1425.4337445295134;498;01.00.00.00;logement;;oip;2024-09-18 15:39;
148617;225.36;3.0;675.1405153879036;498;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
148617;225.36;3.0;675.1405153879036;498;01.00.00.00;logement;;oip;2024-09-18 15:39;
390671;14.39;1.0;14.387200000266034;498;01.50.00.00;logement;;annexe;2025-03-27 15:10;
386542;8.29;1.0;8.286600001106308;498;01.50.00.00;logement;;annexe;2025-03-27 15:10;
964090;1186.1;3.0;3166.276349862733;503;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
964090;1186.1;3.0;3166.276349862733;503;01.00.00.00;logement;;oip;2024-09-18 15:39;
637705;124.43;4.0;414.92202767125735;503;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
928046;119.67;3.0;321.4765898834625;503;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
111646;19.14;;19.13666028712172;501;;;;;;
871439;33.51;1.0;33.50897849352741;501;;;;;;
737996;93.3;1.0;93.2956382048798;505;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
458089;587.28;3.0;1483.8893740570763;505;16.01.01.00;équipements;;kadaster_sport;2024-10-14 14:16;
733343;22.45;1.0;22.44557999515049;505;;;;;;
110827;1298.27;1.0;1298.2693839592966;505;;;;;;
427029;186.43;1.0;186.43296299771063;505;;;;;;
346732;43.66;1.0;43.66200400915877;505;;;;;;
124344;18.77;;18.766651250045392;505;;;;;;
735680;30.42;1.0;30.42430859220816;505;;;;;;
