id_bat;nomen_miss;miss_area
24799;9;4508.0
24799;3;6358.0
81193;3;10.0
39062;14;27.0
8008;4;68.0
37417;5;128.0
87313;3;144.0
5610;1;17.0
26456;1;20.0
19054;1;22.0
3793;1;32.0
95742;3;224.0
79921;7;271.0
41362;3;1587.0
29010;1;130.0
914;1;130.0
73175;4;160.68
52255;1;21.14
96782;1;27.26
78532;1;97.9
11073;1;190.56
25200;6;233.9
20947;3;279.0
85385;1;27.04
67406;1;33.64
9689;10;161.98000000000002
2297;1;71.47
38249;1;84.3
29363;3;390.89
11103;7;217.46
12191;7;120.22
96025;1;152.41
6296;7;150.0
86445;7;150.0
4249;7;192.68
84482;1;198.46
36202;6;917.1
22993;6;25.9
92239;1;33.32
95630;1;49.72
8738;1;147.14999999999998
30700;1;61.49
29388;1;275.75
1339;1;137.56
54808;2;740.72
43633;3;212.08
85134;1;453.35
49888;9;214.27
10945;5;2230.0
17358;5;458.0
67981;13;355.0
71615;7;17.41
85220;3;49.87
63969;1;413.16
5783;3;112.78
15499;1;118.6
19650;7;168.86
27130;3;871.4499999999999
36717;7;201.38
31222;3;639.5999999999999
41435;9;249.69
45487;7;540.36
88968;7;101.31
81241;3;1269.48
40172;7;351.43
40172;3;211.43
52547;7;47.00000000000006
52547;2;1340.0
57813;1;14.61
98161;1;57.4
24150;1;287.0
39542;1;248.82
53362;1;204.11
23975;7;301.5
23975;3;99.5
35534;3;1358.1
79835;1;120.68
16295;1;175.3
84516;1;109.77
15309;1;115.39
99128;7;197.98
51005;3;201.51
16646;5;308.59
94260;7;361.73
97066;2;1130.68
81172;1;53.26
89605;1;559.4200000000001
47307;1;184.41
69064;1;888.9
81024;3;2149.84
13583;9;631.45
13583;10;300.0
88719;1;184.18
99867;3;499.45
20264;3;429.06
47479;1;722.9199999999998
38115;1;121.29
40630;3;170.48
35729;3;2300.0
58028;7;84.58
69465;7;200.0
69465;3;100.0
95573;2;15.29
4500;2;24.17
90361;9;114.05
91323;1;364.68
59398;3;661.5
30381;1;193.15
81527;7;324.13
1698;5;225.0
8690;1;4.64
38123;1;11.17
13645;5;17.34
8018;1;20.37
62356;1;25.14
22676;1;30.33
5466;1;35.8
53487;1;36.36
77426;1;125.06
70678;5;166.9
92758;7;92.94
48911;1;283.44
32308;7;101.0
52088;3;122.16
2385;1;454.11
56907;5;152.72
56907;7;152.72
56907;3;100.0
39819;1;825.6399999999999
57362;5;97.0
23147;7;436.52
67715;3;297.99
42876;5;1299.08
9210;7;0.0
95166;9;524.28
68676;14;3.02
69588;14;14.69
4419;14;17.17
38089;14;23.78
20118;14;26.13
71897;6;29.82
85829;1;201.32
56503;3;83.13
12409;14;84.28
21308;14;84.64
53046;7;50.28
15011;1;42.74
43875;5;38.12
43875;3;76.24
32891;1;39.85
42187;1;89.4
90545;3;47.08
32874;5;69.48
23562;3;74.96
68839;1;85.49
24308;3;50.25
5730;1;138.46
7861;3;75.0
60684;3;259.34
26848;1;248.39
7335;1;120.08
9811;5;32.2
94599;1;78.82
3430;1;98.82
38137;3;48.83
64394;3;51.12
49855;3;332.28
7954;11;416.76
65549;1;482.28
45940;1;21.0
11423;1;22.0
68041;14;29.0
40690;14;53.0
52446;3;72.0
87891;4;40.0
20453;1;53.0
826;3;300.0
65333;1;108.0
19323;3;310.0
68944;3;496.0
75194;4;312.0
31472;9;257.0
77551;14;9.0
71359;3;187.0
93193;4;248.0
31141;3;1458.0
2566;4;1900.0
54631;3;1160.0
51069;14;8.0
37066;4;108.0
11191;4;115.0
53898;4;244.0
23446;14;340.0
76222;3;1719.0
19765;1;33.68
32738;1;35.48
35059;5;158.21
27786;5;160.64
74455;1;1173.42
80019;13;1151.97
87376;3;82.0
85661;6;290.0
38963;6;295.0
54933;6;300.0
8224;3;513.0
13889;9;220.0
13889;3;1040.0
9733;1;47.0
8293;4;150.0
76074;14;5.0
15886;14;6.0
84420;14;7.0
58716;14;17.0
28475;14;23.0
65068;1;24.0
71857;1;28.0
77373;1;28.0
38980;1;47.0
67369;1;56.0
75135;1;362.0
96092;4;2050.0
34146;4;2264.0
81697;7;10231.0
72131;14;9.0
70313;14;10.0
30498;9;9101.41
42732;1;32.0
20132;1;34.0
23778;5;95.0
67874;1;151.0
61659;4;155.0
16302;1;179.0
57079;3;50.0
11841;1;142.0
61134;4;1196.24
5327;3;487.65
89710;5;1620.94
89710;3;1046.0
75946;1;22.0
28351;1;406.0
55226;14;9.0
29587;16;23.0
19537;13;42.0
44468;4;26.0
16982;13;44.0
22126;4;85.0
5660;16;156.0
3128;16;169.0
83399;16;259.0
11459;1;110.0
11459;3;260.0
48023;13;804.0
63087;16;416.0
56265;4;503.0
26351;4;1220.0
90673;1;6.96
7796;9;18.16
40859;1;31.62
1864;1;75.12
21898;1;39.96
68230;5;135.86
