id_bat;area;level_all;SP;id_block;nomenclature;regroupement_fill;date_insert;date_out;nomen
518065;118.17;2.0;236.3409219854219;527;03.00.00.00;bureau;2024-12-16 14:36:00;;03
346935;29.63;;29.632744995387995;527;;;;;
534380;14.09;;14.085009612082668;527;05.50.00.00;commerce;2024-09-23 10:43;;05
479238;27.43;1.0;27.433728494249745;527;;;;;
520198;1345.15;2.0;2690.290648804982;527;04.02.16.00;industrie;2024-11-14 15:18;;04
520198;1345.15;2.0;2690.290648804982;527;04.04.00.00;industrie;2024-11-14 15:18;;04
455331;2206.46;2.0;3565.664502754936;527;04.04.02.00;industrie;2024-11-14 15:18;;04
380503;8.12;;8.116173500367081;527;;;;;
581593;4973.41;2.0;8387.02013288433;527;16.01.10.00;équipements;2024-10-14 14:16;;16
581593;4973.41;2.0;8387.02013288433;527;04.00.02.99;industrie;2024-11-14 15:18;;04
525016;1628.61;1.0;1628.6138575199143;527;;;;;
697454;2539.66;2.0;4184.87655591162;527;01.00.00.00;logement;2024-09-18 15:32;;01
697454;2539.66;2.0;4184.87655591162;527;11.07.00.00;équipements;2024-09-18 15:52;;11
524721;1590.8;2.0;3181.6033300402573;527;04.02.04.00;industrie;2024-11-14 15:18;;04
675421;225.88;2.0;390.6734268506759;527;;;;;
575637;18.65;1.0;18.645662000505496;527;06.02.00.00;équipements;2024-09-18 15:53;;06
346839;54.46;1.0;54.46202780893604;527;;;;;
419911;3325.24;2.0;5733.475857869961;527;04.04.00.00;industrie;2024-11-14 15:18;;04
251023;9.73;1.0;9.73137500054404;527;;;;;
582251;37.9;0.0;0.0;527;;;;;
487245;863.38;1.0;863.3757566640536;527;;;;;
338392;34.23;0.0;0.0;527;;;;;
499302;43.04;1.0;43.03627899612557;527;01.00.00.00;logement;2024-09-18 15:32;;01
499302;43.04;1.0;43.03627899612557;527;05.00.00.99;commerce;2024-10-17 15:01;;05
589853;563.24;2.0;980.82628936146;527;01.00.00.00;logement;2024-09-18 15:32;;01
589853;563.24;2.0;980.82628936146;527;05.01.03.02;commerce;2024-10-17 15:01;;05
589853;563.24;2.0;980.82628936146;527;03.04.00.00;bureau;2024-12-16 14:36:00;;03
204621;1917.79;2.0;3448.714562145945;527;03.04.00.00;bureau;2024-12-16 14:36:00;;03
204621;1917.79;2.0;3448.714562145945;527;04.05.00.00;industrie;2024-11-14 15:18;;04
430975;4192.87;2.0;8385.741148898245;527;09.03.00.00;équipements;2024-11-14 15:18;;09
449678;4575.96;2.0;8272.071291551454;527;06.02.00.00;équipements;2024-09-18 15:53;;06
449678;4575.96;2.0;8272.071291551454;527;03.00.00.00;bureau;2024-12-16 14:36:00;;03
